Country_Code,Meat_Type,Measure,Year,Value,Lat,Lng
IND,POULTRY,THND_TONNE,2022,4253.738,20,77
ETH,POULTRY,THND_TONNE,2022,14.893,8,38
SAU,POULTRY,THND_TONNE,2022,1411.987,25,45
RUS,POULTRY,THND_TONNE,2022,5144.241,60,100
NOR,POULTRY,THND_TONNE,2022,112.805,62,10
THA,POULTRY,THND_TONNE,2022,638.916,15,100
ZAF,POULTRY,THND_TONNE,2022,2392.063,-29,24
NGA,POULTRY,THND_TONNE,2022,199.116,10,8
ISR,POULTRY,THND_TONNE,2022,666.406,31.5,34.75
NZL,POULTRY,THND_TONNE,2022,223.34,-41,174
VNM,POULTRY,THND_TONNE,2022,1960.523,16,106
KAZ,POULTRY,THND_TONNE,2022,376.158,48,68
PER,POULTRY,THND_TONNE,2022,1832.384,-10,-76
TUR,POULTRY,THND_TONNE,2022,1914.318,39,35
EGY,POULTRY,THND_TONNE,2022,1395.77,27,30
ARG,POULTRY,THND_TONNE,2022,1994.604,-34,-64
USA,POULTRY,THND_TONNE,2022,19364.111,38,-97
BRA,POULTRY,THND_TONNE,2022,9953.047,-10,-55
COL,POULTRY,THND_TONNE,2022,1896.217,4,-72
PAK,POULTRY,THND_TONNE,2022,1647.152,30,70
CAN,POULTRY,THND_TONNE,2022,1574.196,60,-95
CHL,POULTRY,THND_TONNE,2022,802.118,-30,-71
PHL,POULTRY,THND_TONNE,2022,1837.064,13,122
UKR,POULTRY,THND_TONNE,2022,1158.212,49,32
IDN,POULTRY,THND_TONNE,2022,2589.574,-5,120
MEX,POULTRY,THND_TONNE,2022,4607.493,23,-102
PRY,POULTRY,THND_TONNE,2022,43.706,-23,-58
JPN,POULTRY,THND_TONNE,2022,2546.122,36,138
AUS,POULTRY,THND_TONNE,2022,1318.382,-27,133
CHN,POULTRY,THND_TONNE,2022,22748.53,35,105
IRN,POULTRY,THND_TONNE,2022,2305.398,32,53
MYS,POULTRY,THND_TONNE,2022,1919.699,2.5,112.5
CHE,POULTRY,THND_TONNE,2022,148.648,47,8
KOR,POULTRY,THND_TONNE,2022,1102.609,37,127.5
GBR,POULTRY,THND_TONNE,2022,2375.2,54,-2
