Country_Code,Meat_Type,Measure,Year,Value,Country,Lat,Lng
KOR,SHEEP,THND_TONNE,1990,9.563,South Korea,37,127.5
KOR,SHEEP,THND_TONNE,1991,7.896,South Korea,37,127.5
KOR,SHEEP,THND_TONNE,1992,15.467,South Korea,37,127.5
KOR,SHEEP,THND_TONNE,1993,11.516,South Korea,37,127.5
KOR,SHEEP,THND_TONNE,1994,14.189,South Korea,37,127.5
KOR,SHEEP,THND_TONNE,1995,12.722,South Korea,37,127.5
KOR,SHEEP,THND_TONNE,1996,10.887,South Korea,37,127.5
KOR,SHEEP,THND_TONNE,1997,9.606,South Korea,37,127.5
KOR,SHEEP,THND_TONNE,1998,8.067,South Korea,37,127.5
KOR,SHEEP,THND_TONNE,1999,6.814,South Korea,37,127.5
KOR,SHEEP,THND_TONNE,2000,5.701,South Korea,37,127.5
KOR,SHEEP,THND_TONNE,2001,4.889,South Korea,37,127.5
KOR,SHEEP,THND_TONNE,2002,5.699,South Korea,37,127.5
KOR,SHEEP,THND_TONNE,2003,5.512,South Korea,37,127.5
KOR,SHEEP,THND_TONNE,2004,5.978,South Korea,37,127.5
KOR,SHEEP,THND_TONNE,2005,6.078,South Korea,37,127.5
KOR,SHEEP,THND_TONNE,2006,5.838,South Korea,37,127.5
KOR,SHEEP,THND_TONNE,2007,5.819,South Korea,37,127.5
KOR,SHEEP,THND_TONNE,2008,5.73,South Korea,37,127.5
KOR,SHEEP,THND_TONNE,2009,5.327,South Korea,37,127.5
KOR,SHEEP,THND_TONNE,2010,5.665,South Korea,37,127.5
KOR,SHEEP,THND_TONNE,2011,6.489,South Korea,37,127.5
KOR,SHEEP,THND_TONNE,2012,6.701,South Korea,37,127.5
KOR,SHEEP,THND_TONNE,2013,6.592,South Korea,37,127.5
KOR,SHEEP,THND_TONNE,2014,8.692,South Korea,37,127.5
KOR,SHEEP,THND_TONNE,2015,10.94,South Korea,37,127.5
KOR,SHEEP,THND_TONNE,2016,14.39,South Korea,37,127.5
KOR,SHEEP,THND_TONNE,2017,19.195,South Korea,37,127.5
KOR,SHEEP,THND_TONNE,2018,18.835,South Korea,37,127.5
KOR,SHEEP,THND_TONNE,2019,19.299,South Korea,37,127.5
KOR,SHEEP,THND_TONNE,2020,19.317,South Korea,37,127.5
KOR,SHEEP,THND_TONNE,2021,19.336,South Korea,37,127.5
KOR,SHEEP,THND_TONNE,2022,19.354,South Korea,37,127.5
KOR,SHEEP,THND_TONNE,2023,19.372,South Korea,37,127.5
KOR,SHEEP,THND_TONNE,2024,19.39,South Korea,37,127.5
KOR,SHEEP,THND_TONNE,2025,19.408,South Korea,37,127.5
KOR,SHEEP,THND_TONNE,2026,19.426,South Korea,37,127.5
KOR,SHEEP,THND_TONNE,2027,19.445,South Korea,37,127.5
KOR,SHEEP,THND_TONNE,2028,19.463,South Korea,37,127.5
